"partnerid","TotalClicks","NoOfUniqueReferer","RefererClickRatio","NonRefererClickRatio","status"
"8iqua","3","3","1.00","0.00","OK"
"8iqug","1174","376","0.32","0.68","OK"
"8iqur","1","1","1.00","0.00","OK"
"8iquu","1","1","1.00","0.00","OK"
"8iqvd","1","1","1.00","0.00","OK"
"8iqvi","22","3","0.14","0.86","OK"
"8iqvo","5","3","0.60","0.40","OK"
"8iqvp","7","4","0.57","0.43","OK"
"8iqvs","5","2","0.40","0.60","OK"
"8iqw0","1","1","1.00","0.00","OK"
"8iqw1","346","26","0.08","0.92","OK"
"8iqw2","32","11","0.34","0.66","OK"
"8iqw6","109","11","0.10","0.90","OK"
"8iqw8","56","15","0.27","0.73","OK"
"8iqw9","9","7","0.78","0.22","OK"
"8iqwa","28","10","0.36","0.64","OK"
"8iqwb","6","2","0.33","0.67","OK"
"8iqwc","32","14","0.44","0.56","OK"
"8iqwe","3","3","1.00","0.00","OK"
"8iqwf","1","1","1.00","0.00","OK"
"8iqwy","2","2","1.00","0.00","OK"
"8iqx9","12","6","0.50","0.50","OK"
"8iqxa","35","8","0.23","0.77","OK"
"8iqxb","7","4","0.57","0.43","OK"
"8iqxi","1","1","1.00","0.00","OK"
"8iqym","1","1","1.00","0.00","OK"
"8iqyw","341","24","0.07","0.93","OK"
"8iqzc","268","136","0.51","0.49","OK"
"8iqzg","73","48","0.66","0.34","OK"
"8iqzh","233","114","0.49","0.51","OK"
"8iqzi","2361","581","0.25","0.75","OK"
"8iqzk","1060","621","0.59","0.41","OK"
"8iqzl","169","123","0.73","0.27","OK"
"8iqzm","159","96","0.60","0.40","OK"
"8iqzn","54","22","0.41","0.59","OK"
"8iqzo","150","107","0.71","0.29","OK"
"8iqzp","909","617","0.68","0.32","OK"
"8iqzs","442","125","0.28","0.72","OK"
"8iqzu","96","66","0.69","0.31","OK"
"8iqzw","1103","352","0.32","0.68","OK"
"8iqzz","313","179","0.57","0.43","OK"
"8ir00","345","207","0.60","0.40","OK"
"8ir01","923","300","0.33","0.67","OK"
"8ir05","1002","522","0.52","0.48","Fraud"
"8ir06","343","172","0.50","0.50","OK"
"8ir07","998","334","0.33","0.67","OK"
"8ir09","851","526","0.62","0.38","OK"
"8ir0d","146","81","0.55","0.45","OK"
"8ir0f","324","183","0.56","0.44","OK"
"8ir0i","6","6","1.00","0.00","OK"
"8ir0v","3","1","0.33","0.67","OK"
"8ir0z","3","2","0.67","0.33","OK"
"8ir14","77","33","0.43","0.57","OK"
"8ir16","189","89","0.47","0.53","OK"
"8ir1o","3","3","1.00","0.00","OK"
"8ir25","9","3","0.33","0.67","OK"
"8ir28","2","1","0.50","0.50","OK"
"8ir2b","15","10","0.67","0.33","OK"
"8ir2e","83","45","0.54","0.46","OK"
"8ir2l","6","6","1.00","0.00","OK"
"8ir2o","1","1","1.00","0.00","OK"
"8ir2s","2","2","1.00","0.00","OK"
"8ir3v","11","7","0.64","0.36","OK"
"8ir4d","1","1","1.00","0.00","OK"
"8ir6j","1","1","1.00","0.00","OK"
"8ir6k","1","1","1.00","0.00","OK"
"8ir6w","5","2","0.40","0.60","OK"
"8ir7h","1","1","1.00","0.00","OK"
"8ir96","476","91","0.19","0.81","OK"
"8irab","8450","1652","0.20","0.80","OK"
"8irb0","15","6","0.40","0.60","OK"
"8irbp","657","371","0.56","0.44","OK"
"8irck","10","10","1.00","0.00","OK"
"8ircl","27","26","0.96","0.04","OK"
"8ircq","40","27","0.68","0.33","OK"
"8ircw","2","1","0.50","0.50","OK"
"8ircy","2","1","0.50","0.50","OK"
"8irdq","2","1","0.50","0.50","OK"
"8irdv","6","2","0.33","0.67","OK"
"8ire4","6","2","0.33","0.67","OK"
"8irek","1","1","1.00","0.00","OK"
"8irgx","5","2","0.40","0.60","OK"
"8irid","2","1","0.50","0.50","OK"
"8irih","1107","635","0.57","0.43","OK"
"8iriv","31","4","0.13","0.87","OK"
"8irjv","6","3","0.50","0.50","OK"
"8irk4","262","182","0.69","0.31","OK"
"8irkm","15","4","0.27","0.73","OK"
"8irl1","2","2","1.00","0.00","OK"
"8irlc","1369","276","0.20","0.80","OK"
"8irle","158","29","0.18","0.82","OK"
"8irll","369","8","0.02","0.98","Observation"
"8irob","37900","2768","0.07","0.93","OK"
"8irot","787","348","0.44","0.56","OK"
"8irq0","1705","91","0.05","0.95","OK"
"8irqh","1","1","1.00","0.00","OK"
"8irqi","2","1","0.50","0.50","OK"
"8irqk","3","3","1.00","0.00","OK"
"8irr8","2","2","1.00","0.00","OK"
"8irr9","24","10","0.42","0.58","OK"
"8irrl","1","1","1.00","0.00","OK"
"8irrw","1","1","1.00","0.00","OK"
"8irrx","646","4","0.01","0.99","Observation"
"8irs5","71","51","0.72","0.28","OK"
"8irsq","3","2","0.67","0.33","OK"
"8irsy","35","4","0.11","0.89","OK"
"8irt8","86","38","0.44","0.56","OK"
"8irtb","1","1","1.00","0.00","OK"
"8irtc","10","6","0.60","0.40","OK"
"8irti","8","4","0.50","0.50","OK"
"8irtu","1","1","1.00","0.00","OK"
"8iru0","15","11","0.73","0.27","OK"
"8iru3","1","1","1.00","0.00","OK"
"8irui","93","2","0.02","0.98","OK"
"8iruq","3","2","0.67","0.33","OK"
"8irvj","678","9","0.01","0.99","OK"
"8irwu","3","3","1.00","0.00","OK"
"8irzv","1","1","1.00","0.00","OK"
"8is01","570","33","0.06","0.94","OK"
"8is0l","15","7","0.47","0.53","OK"
"8is1d","41","12","0.29","0.71","OK"
"8is20","31","21","0.68","0.32","OK"
"8is2b","549","34","0.06","0.94","OK"
"8is2k","672","401","0.60","0.40","Fraud"
"8is2p","3","3","1.00","0.00","OK"
"8is30","1","1","1.00","0.00","OK"
"8is32","1","1","1.00","0.00","OK"
"8is41","1","1","1.00","0.00","OK"
"8is47","6","2","0.33","0.67","OK"
"8is4p","1","1","1.00","0.00","OK"
"8is4w","131","52","0.40","0.60","OK"
"8is4x","21","14","0.67","0.33","OK"
"8is5e","558","111","0.20","0.80","OK"
"8is5f","3","2","0.67","0.33","OK"
"8is5h","525","131","0.25","0.75","Observation"
"8is5o","33","14","0.42","0.58","OK"
"8is5q","94","29","0.31","0.69","OK"
"8is5r","36","16","0.44","0.56","OK"
"8is6u","2","1","0.50","0.50","OK"
"8is82","1672","265","0.16","0.84","OK"
"8is85","3","3","1.00","0.00","OK"
"8is87","75","59","0.79","0.21","OK"
"8is8g","63","32","0.51","0.49","OK"
"8isas","2070","502","0.24","0.76","OK"
"8isat","2077","327","0.16","0.84","OK"
"8isau","3","1","0.33","0.67","OK"
"8isbh","46","3","0.07","0.93","OK"
"8isbo","2","1","0.50","0.50","OK"
"8isbr","1","1","1.00","0.00","OK"
"8isbz","141","36","0.26","0.74","OK"
"8isch","1605","4","0.00","1.00","Observation"
"8iscw","107","41","0.38","0.62","OK"
"8iscy","190","42","0.22","0.78","OK"
"8isd4","1","1","1.00","0.00","OK"
"8isd6","3","3","1.00","0.00","OK"
"8isdb","86","29","0.34","0.66","OK"
"8isdq","15","10","0.67","0.33","OK"
"8ise8","12","7","0.58","0.42","OK"
"8isei","10","7","0.70","0.30","OK"
"8ises","544","33","0.06","0.94","OK"
"8iseu","16","11","0.69","0.31","OK"
"8isf7","70","57","0.81","0.19","OK"
"8isfp","1","1","1.00","0.00","OK"
"8isfs","1","1","1.00","0.00","OK"
"8isgu","20","16","0.80","0.20","OK"
"8ish6","1125","406","0.36","0.64","OK"
"8ishk","29","11","0.38","0.62","OK"
"8ishn","5","1","0.20","0.80","OK"
"8isi3","1","1","1.00","0.00","OK"
"8isj3","6229","368","0.06","0.94","OK"
"8isj9","46","17","0.37","0.63","OK"
"8isje","49","4","0.08","0.92","OK"
"8isk1","1","1","1.00","0.00","OK"
"8isk6","1","1","1.00","0.00","OK"
"8islr","46","13","0.28","0.72","OK"
"8isme","8","5","0.63","0.38","OK"
"8ismw","3","2","0.67","0.33","OK"
"8isp2","1","1","1.00","0.00","OK"
"8isrm","185","60","0.32","0.68","OK"
"8isrt","2","1","0.50","0.50","OK"
"8issu","162","120","0.74","0.26","OK"
"8isvf","1","1","1.00","0.00","OK"
"8isxs","3","2","0.67","0.33","OK"
"8isxw","1","1","1.00","0.00","OK"
"8isyx","2","1","0.50","0.50","OK"
"8isz2","8","3","0.38","0.63","OK"
"8isz4","1","1","1.00","0.00","OK"
"8it0b","26","8","0.31","0.69","OK"
"8it0m","1","1","1.00","0.00","OK"
"8it0v","11","10","0.91","0.09","OK"
"8it18","12","5","0.42","0.58","OK"
"8it2h","662","355","0.54","0.46","OK"
"8it36","1474","9","0.01","0.99","Fraud"
"8it3p","115","4","0.03","0.97","OK"
"8it4b","3","3","1.00","0.00","OK"
"8it51","174","81","0.47","0.53","OK"
"8it52","72","37","0.51","0.49","OK"
"8it54","39","17","0.44","0.56","OK"
"8it55","162","79","0.49","0.51","OK"
"8it57","7","6","0.86","0.14","OK"
"8it59","6","3","0.50","0.50","OK"
"8it5a","9","7","0.78","0.22","OK"
"8it5b","5","1","0.20","0.80","OK"
"8it5c","21","18","0.86","0.14","OK"
"8it5d","13","13","1.00","0.00","OK"
"8it5e","59","38","0.64","0.36","OK"
"8it5i","16","16","1.00","0.00","OK"
"8it5k","27","20","0.74","0.26","OK"
"8it5n","33","13","0.39","0.61","OK"
"8it5o","5","3","0.60","0.40","OK"
"8it5q","6","6","1.00","0.00","OK"
"8it5r","7","6","0.86","0.14","OK"
"8it5t","195","74","0.38","0.62","OK"
"8it63","1","1","1.00","0.00","OK"
"8it65","1","1","1.00","0.00","OK"
"8it66","2","2","1.00","0.00","OK"
"8it6j","6","1","0.17","0.83","OK"
"8it7k","6","5","0.83","0.17","OK"
"8it7m","1","1","1.00","0.00","OK"
"8it7o","15","13","0.87","0.13","OK"
"8it7p","7","2","0.29","0.71","OK"
"8it8j","106","10","0.09","0.91","OK"
"8it8l","1","1","1.00","0.00","OK"
"8it8q","2","1","0.50","0.50","OK"
"8it9g","2188","142","0.06","0.94","OK"
"8it9n","6","4","0.67","0.33","OK"
"8it9p","965","316","0.33","0.67","OK"
"8it9w","467","73","0.16","0.84","OK"
"8itaa","16","9","0.56","0.44","OK"
"8itap","4774","1516","0.32","0.68","Observation"
"8itat","1","1","1.00","0.00","OK"
"8itb0","13201","6507","0.49","0.51","OK"
"8itb1","8637","5062","0.59","0.41","OK"
"8itcr","2150","1378","0.64","0.36","OK"
"8itcx","1","1","1.00","0.00","OK"
"8itdr","3","3","1.00","0.00","OK"
"8itdx","1","1","1.00","0.00","OK"
"8ite3","8131","1553","0.19","0.81","OK"
"8iteu","6","2","0.33","0.67","OK"
"8itf4","24","3","0.13","0.88","OK"
"8itfc","1","1","1.00","0.00","OK"
"8itgs","14","2","0.14","0.86","OK"
"8ith0","16","7","0.44","0.56","OK"
"8ith4","6220","1129","0.18","0.82","OK"
"8ith6","1","1","1.00","0.00","OK"
"8ithb","1","1","1.00","0.00","OK"
"8ithf","1743","560","0.32","0.68","Observation"
"8ithn","4","3","0.75","0.25","OK"
"8ithu","188","29","0.15","0.85","OK"
"8ithz","4","2","0.50","0.50","OK"
"8itif","5","1","0.20","0.80","OK"
"8itio","1","1","1.00","0.00","OK"
"8itiu","92","23","0.25","0.75","OK"
"8itj5","40","23","0.58","0.43","OK"
"8itji","2172","1109","0.51","0.49","OK"
"8itk7","35","22","0.63","0.37","OK"
"8itka","1","1","1.00","0.00","OK"
"8itkq","17","2","0.12","0.88","OK"
"8itks","11","7","0.64","0.36","OK"
"8itkt","135","9","0.07","0.93","OK"
"8itl2","1","1","1.00","0.00","OK"
"8itl8","2","2","1.00","0.00","OK"
"8itla","1","1","1.00","0.00","OK"
"8itlh","111","70","0.63","0.37","OK"
"8itli","9","8","0.89","0.11","OK"
"8itlt","46","22","0.48","0.52","OK"
"8itly","184","78","0.42","0.58","OK"
"8itm2","1","1","1.00","0.00","OK"
"8itme","11","1","0.09","0.91","OK"
"8itmi","4633","1024","0.22","0.78","OK"
"8itmu","24","14","0.58","0.42","OK"
"8itnb","1","1","1.00","0.00","OK"
"8itod","128","76","0.59","0.41","OK"
"8itoe","4","3","0.75","0.25","OK"
"8itof","787","219","0.28","0.72","OK"
"8itop","833","493","0.59","0.41","OK"
"8itos","2","2","1.00","0.00","OK"
"8itoz","7","6","0.86","0.14","OK"
"8itp0","20","11","0.55","0.45","OK"
"8itpk","76","39","0.51","0.49","OK"
"8itq3","2","2","1.00","0.00","OK"
"8itql","5","2","0.40","0.60","OK"
"8itqs","1","1","1.00","0.00","OK"
"8itrb","97","64","0.66","0.34","OK"
"8itre","464","143","0.31","0.69","OK"
"8itrn","38","20","0.53","0.47","OK"
"8itro","1","1","1.00","0.00","OK"
"8itrq","19","12","0.63","0.37","OK"
"8its6","3","3","1.00","0.00","OK"
"8itsg","3","3","1.00","0.00","OK"
"8itsw","7","3","0.43","0.57","OK"
"8itt6","2","2","1.00","0.00","OK"
"8ittc","145","23","0.16","0.84","OK"
"8itth","1","1","1.00","0.00","OK"
"8ittq","1","1","1.00","0.00","OK"
"8ittu","4","2","0.50","0.50","OK"
"8ittv","2","1","0.50","0.50","OK"
"8ituk","3","2","0.67","0.33","OK"
"8itvb","1","1","1.00","0.00","OK"
"8itww","1","1","1.00","0.00","OK"
"8itx1","67","2","0.03","0.97","OK"
"8itx5","915","323","0.35","0.65","OK"
"8itxs","10","3","0.30","0.70","OK"
"8itxx","8","2","0.25","0.75","OK"
"8ityd","11","7","0.64","0.36","OK"
"8itzi","16","12","0.75","0.25","OK"
"8iu02","3","2","0.67","0.33","OK"
"8iu0k","4","2","0.50","0.50","OK"
"8iu23","12","4","0.33","0.67","OK"
"8iu2c","6791","2319","0.34","0.66","Observation"
"8iu38","2","2","1.00","0.00","OK"
"8iu3e","149","60","0.40","0.60","OK"
"8iu3h","1069","706","0.66","0.34","OK"
"8iu4c","256","228","0.89","0.11","OK"
"8iu57","2","2","1.00","0.00","OK"
"8iu5r","3","2","0.67","0.33","OK"
"8iu66","156","60","0.38","0.62","OK"
"8iu6m","1","1","1.00","0.00","OK"
"8iu6x","6","1","0.17","0.83","OK"
"8iu74","2","1","0.50","0.50","OK"
"8iu76","723","117","0.16","0.84","Observation"
"8iu77","21","4","0.19","0.81","OK"
"8iu7b","2","1","0.50","0.50","OK"
"8iu7d","1054","135","0.13","0.87","OK"
"8iu7w","1","1","1.00","0.00","OK"
"8iu82","3","3","1.00","0.00","OK"
"8iua3","26","17","0.65","0.35","OK"
"8iuan","6968","4310","0.62","0.38","Observation"
"8iuav","9","3","0.33","0.67","OK"
"8iub1","4","3","0.75","0.25","OK"
"8iucx","13","2","0.15","0.85","OK"
"8iufj","34","18","0.53","0.47","OK"
"8iufr","1","1","1.00","0.00","OK"
"8iufs","51","31","0.61","0.39","OK"
"8iufv","2","1","0.50","0.50","OK"
"8iugo","1","1","1.00","0.00","OK"
"8iuhr","1","1","1.00","0.00","OK"
"8iui3","1","1","1.00","0.00","OK"
"8iuia","7341","460","0.06","0.94","OK"
"8iuip","1","1","1.00","0.00","OK"
"8iujq","6","5","0.83","0.17","OK"
"8iujx","218","87","0.40","0.60","OK"
"8iukd","1","1","1.00","0.00","OK"
"8iuls","16","12","0.75","0.25","OK"
"8ium6","1","1","1.00","0.00","OK"
"8iumc","40","24","0.60","0.40","OK"
"8iume","542","105","0.19","0.81","OK"
"8iumx","7","2","0.29","0.71","OK"
"8iun9","803","93","0.12","0.88","OK"
"8iuna","5","4","0.80","0.20","OK"
"8iunk","3","1","0.33","0.67","OK"
"8iuo8","1999","210","0.11","0.89","OK"
"8iuok","61","12","0.20","0.80","OK"
"8iuqb","2","1","0.50","0.50","OK"
"8iuqh","25","12","0.48","0.52","OK"
"8iuqk","2020","54","0.03","0.97","OK"
"8iuqp","1","1","1.00","0.00","OK"
"8iuqv","1","1","1.00","0.00","OK"
"8iurr","9","5","0.56","0.44","OK"
"8iuuw","2","1","0.50","0.50","OK"
"8iuv4","13","3","0.23","0.77","OK"
"8iuv6","77","29","0.38","0.62","OK"
"8iuv8","16","8","0.50","0.50","OK"
"8iuv9","46","5","0.11","0.89","OK"
"8iuva","25","10","0.40","0.60","OK"
"8iuwa","1","1","1.00","0.00","OK"
"8iuxg","3","2","0.67","0.33","OK"
"8iuxk","4","1","0.25","0.75","OK"
"8iuxq","56","4","0.07","0.93","OK"
"8iuy6","1","1","1.00","0.00","OK"
"8iuyv","64","27","0.42","0.58","OK"
"8iv07","7","5","0.71","0.29","OK"
"8iv0i","1","1","1.00","0.00","OK"
"8iv0s","1","1","1.00","0.00","OK"
"8iv0x","84","4","0.05","0.95","OK"
"8iv1g","3","3","1.00","0.00","OK"
"8iv1m","7","4","0.57","0.43","OK"
"8iv1x","49","16","0.33","0.67","OK"
"8iv2t","1","1","1.00","0.00","OK"
"8iv3o","2","2","1.00","0.00","OK"
"8iv48","1","1","1.00","0.00","OK"
"8iv4d","1","1","1.00","0.00","OK"
"8iv4h","2","2","1.00","0.00","OK"
"8iv4j","142","24","0.17","0.83","OK"
"8iv58","1","1","1.00","0.00","OK"
"8iv5f","2","2","1.00","0.00","OK"
"8iv5p","1","1","1.00","0.00","OK"
"8iv65","27","18","0.67","0.33","OK"
"8iv6j","15","11","0.73","0.27","OK"
"8iv7e","359","17","0.05","0.95","OK"
"8iv7j","716","309","0.43","0.57","OK"
"8iv8i","1","1","1.00","0.00","OK"
"8iv9n","1130","206","0.18","0.82","OK"
"8ivbf","156","3","0.02","0.98","Observation"
"8ivbn","258","141","0.55","0.45","OK"
"8ivbx","1","1","1.00","0.00","OK"
"8ivcn","3","2","0.67","0.33","OK"
"8ivdi","115","40","0.35","0.65","OK"
"8ivdx","12","10","0.83","0.17","OK"
"8ive3","10","4","0.40","0.60","OK"
"8ive5","1","1","1.00","0.00","OK"
"8ivea","42","9","0.21","0.79","OK"
"8iveg","23","16","0.70","0.30","OK"
"8ivf6","50","28","0.56","0.44","OK"
"8ivfj","4","4","1.00","0.00","OK"
"8ivfk","2229","694","0.31","0.69","OK"
"8ivge","8","2","0.25","0.75","OK"
"8ivhg","1","1","1.00","0.00","OK"
"8ivhr","149","53","0.36","0.64","OK"
"8ivir","6743","3387","0.50","0.50","OK"
"8iviz","2","2","1.00","0.00","OK"
"8ivj4","1","1","1.00","0.00","OK"
"8ivjv","3077","947","0.31","0.69","OK"
"8ivkm","1","1","1.00","0.00","OK"
"8ivkn","974","738","0.76","0.24","OK"
"8ivlh","4213","1145","0.27","0.73","Fraud"
"8ivlp","184","5","0.03","0.97","Observation"
"8ivm9","1","1","1.00","0.00","OK"
"8ivmk","24","14","0.58","0.42","OK"
"8ivnj","1","1","1.00","0.00","OK"
"8ivnk","7","4","0.57","0.43","OK"
"8ivnx","3","2","0.67","0.33","OK"
"8ivny","1","1","1.00","0.00","OK"
"8ivo7","137","81","0.59","0.41","OK"
"8ivof","1638","951","0.58","0.42","OK"
"8ivp6","3","1","0.33","0.67","OK"
"8ivpt","2","1","0.50","0.50","OK"
"8ivpv","544","188","0.35","0.65","OK"
"8ivql","1","1","1.00","0.00","OK"
"8ivsv","1","1","1.00","0.00","OK"
"8ivsx","312","188","0.60","0.40","OK"
"8ivti","34","16","0.47","0.53","OK"
"8ivtm","5","4","0.80","0.20","OK"
"8ivtv","1","1","1.00","0.00","OK"
"8ivwj","923","411","0.45","0.55","OK"
"8ivwr","18","6","0.33","0.67","OK"
"8ivwv","7","2","0.29","0.71","OK"
"8ivxp","1","1","1.00","0.00","OK"
"8ivy4","264","26","0.10","0.90","OK"
"8ivy5","1","1","1.00","0.00","OK"
"8ivyc","25","13","0.52","0.48","OK"
"8ivyu","1","1","1.00","0.00","OK"
"8iw0a","1","1","1.00","0.00","OK"
"8iw0n","20","11","0.55","0.45","OK"
"8iw0r","803","7","0.01","0.99","OK"
"8iw1f","21","3","0.14","0.86","OK"
"8iw1v","4","3","0.75","0.25","OK"
"8iw21","2","1","0.50","0.50","OK"
"8iw29","16","6","0.38","0.63","OK"
"8iw31","5","4","0.80","0.20","OK"
"8iw3u","1","1","1.00","0.00","OK"
"8iw46","12","8","0.67","0.33","OK"
"8iw4a","7","3","0.43","0.57","OK"
"8iw55","1","1","1.00","0.00","OK"
"8iw5p","12","8","0.67","0.33","OK"
"8iw5r","2","2","1.00","0.00","OK"
"8iw6k","1","1","1.00","0.00","OK"
"8iw6v","1","1","1.00","0.00","OK"
"8iw7e","34","18","0.53","0.47","OK"
"8iw7i","19","8","0.42","0.58","OK"
"8iw84","55","1","0.02","0.98","OK"
"8iw9s","68","13","0.19","0.81","OK"
"8iwaa","4","1","0.25","0.75","OK"
"8iwac","1","1","1.00","0.00","OK"
"8iwag","1","1","1.00","0.00","OK"
"8iwak","5","1","0.20","0.80","OK"
"8iwau","1","1","1.00","0.00","OK"
"8iwav","3","2","0.67","0.33","OK"
"8iwbt","4","1","0.25","0.75","OK"
"8iwe6","15","13","0.87","0.13","OK"
"8iweh","1","1","1.00","0.00","OK"
"8iwf2","1","1","1.00","0.00","OK"
"8iwfs","20","8","0.40","0.60","OK"
"8iwg3","47","20","0.43","0.57","OK"
"8iwh3","11","6","0.55","0.45","OK"
"8iwhf","1","1","1.00","0.00","OK"
"8iwhh","1","1","1.00","0.00","OK"
"8iwhi","94","11","0.12","0.88","OK"
"8iwid","6932","2354","0.34","0.66","OK"
"8iwii","55","22","0.40","0.60","OK"
"8iwj3","2","2","1.00","0.00","OK"
"8iwjs","31","4","0.13","0.87","OK"
"8iwky","2","1","0.50","0.50","OK"
"8iwl4","247","33","0.13","0.87","OK"
"8iwl5","35","26","0.74","0.26","OK"
"8iwmb","2777","1564","0.56","0.44","OK"
"8iwn7","1","1","1.00","0.00","OK"
"8iwnh","3","2","0.67","0.33","OK"
"8iwo2","888","498","0.56","0.44","OK"
"8iwos","134","4","0.03","0.97","Fraud"
"8iwp2","441","54","0.12","0.88","Fraud"
"8iwp3","783","297","0.38","0.62","OK"
"8iwpy","1","1","1.00","0.00","OK"
"8iwq4","55","16","0.29","0.71","OK"
"8iwq6","6","6","1.00","0.00","OK"
"8iwqm","8","5","0.63","0.38","OK"
"8iwqv","2","1","0.50","0.50","OK"
"8iwrl","66","34","0.52","0.48","OK"
"8iwrx","72","30","0.42","0.58","OK"
"8iws2","13","5","0.38","0.62","OK"
"8iws4","2","2","1.00","0.00","OK"
"8iws7","22","11","0.50","0.50","OK"
"8iwsa","2","1","0.50","0.50","OK"
"8iwsc","20","4","0.20","0.80","OK"
"8iwu7","462","211","0.46","0.54","OK"
"8iwug","28","12","0.43","0.57","OK"
"8iwv8","45","17","0.38","0.62","OK"
"8iwvi","3","1","0.33","0.67","OK"
"8iwvl","180","28","0.16","0.84","OK"
"8iwx5","31","18","0.58","0.42","OK"
"8iwxs","2","2","1.00","0.00","OK"
"8iwxv","19","15","0.79","0.21","OK"
"8iwy8","2236","866","0.39","0.61","OK"
"8iwz0","2","1","0.50","0.50","OK"
"8ix09","1","1","1.00","0.00","OK"
"8ix0c","1","1","1.00","0.00","OK"
"8ix2h","528","122","0.23","0.77","OK"
"8ix3h","1","1","1.00","0.00","OK"
"8ix6h","8","8","1.00","0.00","OK"
"8ix6p","1209","3","0.00","1.00","Fraud"
"8ix86","1","1","1.00","0.00","OK"
"8ix89","4","1","0.25","0.75","OK"
"8ixdk","3","1","0.33","0.67","OK"
"8ixgd","102","10","0.10","0.90","OK"
"8ixgl","13","9","0.69","0.31","OK"
"8ixl3","23","2","0.09","0.91","OK"
"8ixly","10","6","0.60","0.40","OK"
"8ixlz","95","20","0.21","0.79","OK"
"8ixoq","450","221","0.49","0.51","OK"
"8ixor","1448","585","0.40","0.60","OK"
"8ixp4","1","1","1.00","0.00","OK"
"8ixq4","13401","8292","0.62","0.38","OK"
"8ixq5","22070","16050","0.73","0.27","OK"
"8ixs1","61","39","0.64","0.36","OK"
"8ixsd","3070","894","0.29","0.71","OK"
"8ixue","1","1","1.00","0.00","OK"
"8ixuj","2","2","1.00","0.00","OK"
"8ixvg","128","52","0.41","0.59","OK"
"8ixvu","2152","834","0.39","0.61","OK"
"8ixy5","4","4","1.00","0.00","OK"
"8ixzl","1","1","1.00","0.00","OK"
"8ixzs","2797","1339","0.48","0.52","OK"
"8ixzt","1060","67","0.06","0.94","OK"
"8iy03","9195","2412","0.26","0.74","OK"
"8iy0v","257","20","0.08","0.92","Observation"
"8iy1m","2","2","1.00","0.00","OK"
"8iy36","163","59","0.36","0.64","OK"
"8iy4x","4","4","1.00","0.00","OK"
"8iy5g","2457","224","0.09","0.91","OK"
"8iy6x","1","1","1.00","0.00","OK"
"8iy7x","16","8","0.50","0.50","OK"
"8iy9b","10","4","0.40","0.60","OK"
"8iyb9","10","3","0.30","0.70","OK"
"8iyc8","3864","657","0.17","0.83","OK"
"8iydk","1","1","1.00","0.00","OK"
"8iyea","2","2","1.00","0.00","OK"
"8iyfx","59","3","0.05","0.95","OK"
"8iyi9","148","73","0.49","0.51","OK"
"8iyj6","43","24","0.56","0.44","OK"
"8iyo2","3","3","1.00","0.00","OK"
"8iysb","355","5","0.01","0.99","OK"
"8iyvp","811","118","0.15","0.85","OK"
"8iywe","1","1","1.00","0.00","OK"
"8iyxe","41","11","0.27","0.73","OK"
"8iz0o","1","1","1.00","0.00","OK"
"8iz1c","7130","1500","0.21","0.79","OK"
"8iz2a","302","175","0.58","0.42","OK"
"8iz2c","199","128","0.64","0.36","OK"
"8iz2e","66","36","0.55","0.45","OK"
"8iz2m","212","96","0.45","0.55","OK"
"8iz2n","293","134","0.46","0.54","OK"
"8iz48","141","86","0.61","0.39","OK"
"8iz6y","9","7","0.78","0.22","OK"
"8iz7h","5","3","0.60","0.40","OK"
"8iz7i","6369","380","0.06","0.94","OK"
"8iz80","1","1","1.00","0.00","OK"
"8iz8t","2","2","1.00","0.00","OK"
"8iz91","241","39","0.16","0.84","OK"
"8izah","15","12","0.80","0.20","OK"
"8izak","1","1","1.00","0.00","OK"
"8izam","1","1","1.00","0.00","OK"
"8izan","1","1","1.00","0.00","OK"
"8izao","2","2","1.00","0.00","OK"
"8izar","6","6","1.00","0.00","OK"
"8izau","36","19","0.53","0.47","OK"
"8izav","35","5","0.14","0.86","OK"
"8izaw","9","6","0.67","0.33","OK"
"8izay","1","1","1.00","0.00","OK"
"8izbp","2","1","0.50","0.50","OK"
"8izbt","56","14","0.25","0.75","OK"
"8ize1","1","1","1.00","0.00","OK"
"8izgi","5","1","0.20","0.80","OK"
"8izjs","2","2","1.00","0.00","OK"
"8izkp","1","1","1.00","0.00","OK"
"8izlr","10","8","0.80","0.20","OK"
"8iznj","3044","11","0.00","1.00","OK"
"8izot","1","1","1.00","0.00","OK"
"8izpa","457","173","0.38","0.62","OK"
"8izsa","8","3","0.38","0.63","OK"
"8izt5","2911","22","0.01","0.99","Observation"
"8izt6","1935","7","0.00","1.00","Observation"
"8iztc","311","147","0.47","0.53","OK"
"8iztd","7","2","0.29","0.71","OK"
"8iztj","45","22","0.49","0.51","OK"
"8izts","1","1","1.00","0.00","OK"
"8izu7","4","2","0.50","0.50","OK"
"8izv8","8","5","0.63","0.38","OK"
"8izwb","240","113","0.47","0.53","OK"
"8izwe","463","164","0.35","0.65","Fraud"
"8izxr","58","15","0.26","0.74","OK"
"8izzv","323","79","0.24","0.76","OK"
"8j00e","41","16","0.39","0.61","OK"
"8j01d","4","1","0.25","0.75","OK"
"8j029","6","4","0.67","0.33","OK"
"8j07i","120","55","0.46","0.54","OK"
"8j07s","27","1","0.04","0.96","OK"
"8j085","5","3","0.60","0.40","OK"
"8j08y","5695","1339","0.24","0.76","OK"
"8j094","1","1","1.00","0.00","OK"
"8j096","14","8","0.57","0.43","OK"
"8j09p","7","4","0.57","0.43","OK"
