"partnerid","AgentClickRatio","AgentVariance","MaxSameCidCount","NoOfUniqueCid","CidClickRatio","CidVariance","status"
"8ikou","0.01","0.00","27","22","0.15","51.49","OK"
"8ikpq","0.36","15.69","22","107","0.36","15.56","Observation"
"8ikr4","0.24","90.68","360","37","0.07","3347.16","OK"
"8iks0","0.61","2.23","2","30","0.83","0.16","OK"
"8ikt9","0.06","1271.53","397","170","0.04","3971.34","Fraud"
"8ikuf","1.00","0.00","1","1","1.00","0.00","OK"
"8ikvr","0.52","6.25","5","37","0.60","1.41","OK"
"8ikyc","1.00","0.00","1","2","1.00","0.00","OK"
"8ikzq","0.29","23.80","73","119","0.17","184.84","OK"
"8il0o","0.03","61370.22","670","164","0.02","24694.93","Fraud"
"8il17","1.00","0.00","1","4","1.00","0.00","OK"
"8il1w","0.19","98.43","72","394","0.24","35.87","OK"
"8il22","0.41","6.05","3","33","0.67","0.43","OK"
"8il2j","0.50","4.89","12","6","0.33","16.33","OK"
"8il2x","0.27","40.81","52","120","0.18","78.27","OK"
"8il3g","0.34","30.11","32","126","0.29","27.32","OK"
"8il3o","1.00","0.00","1","5","1.00","0.00","OK"
"8il3v","0.36","12.61","164","43","0.18","599.78","OK"
"8il4c","0.36","22.29","5","24","0.57","1.44","OK"
"8il4n","0.29","27.36","341","74","0.14","1549.70","OK"
"8il4r","0.63","0.64","2","5","0.63","0.24","OK"
"8il6b","0.32","36.75","9","26","0.36","5.00","OK"
"8il79","0.72","0.77","2","38","0.81","0.18","OK"
"8il7m","1.00","0.00","1","2","1.00","0.00","OK"
"8il8k","0.88","0.12","1","8","1.00","0.00","OK"
"8ilbu","0.42","16.70","125","15","0.10","949.53","OK"
"8ilbx","0.02","29430.82","1874","584","0.04","8546.13","OK"
"8ilc9","1.00","0.00","1","3","1.00","0.00","OK"
"8ildb","0.76","0.53","4","15","0.60","0.89","OK"
"8ildi","0.10","886.84","399","407","0.07","1077.02","OK"
"8ildn","0.90","0.10","2","8","0.80","0.19","OK"
"8ilee","1.00","0.00","1","1","1.00","0.00","OK"
"8ilel","0.67","0.50","2","9","0.75","0.22","OK"
"8ilf9","0.36","9.12","9","83","0.56","1.86","OK"
"8ilff","0.83","0.29","3","14","0.78","0.35","OK"
"8ilfu","0.23","117.61","72","145","0.18","92.35","OK"
"8ilh8","1.00","0.00","1","2","1.00","0.00","OK"
"8ili5","0.57","1.24","9","18","0.29","4.36","OK"
"8iljx","0.12","539.88","257","421","0.09","712.38","OK"
"8iljy","0.60","2.93","6","69","0.67","0.80","OK"
"8ill4","0.50","2.00","2","4","0.67","0.25","OK"
"8ilm3","0.33","0.00","1","3","1.00","0.00","OK"
"8ilm4","0.77","0.21","3","23","0.66","0.60","OK"
"8ilma","0.75","0.22","4","1","0.25","0.00","OK"
"8ilmh","0.67","0.25","3","1","0.33","0.00","OK"
"8ilnq","1.00","0.00","1","1","1.00","0.00","OK"
"8ilnu","0.57","0.77","3","38","0.90","0.20","OK"
"8iloh","0.63","0.64","1","8","1.00","0.00","OK"
"8ilok","0.11","384.82","311","242","0.09","1420.40","Observation"
"8ilp2","0.86","0.14","5","3","0.43","3.56","OK"
"8ilqt","0.10","1714.23","1282","159","0.06","11170.82","OK"
"8ils4","1.00","0.00","2","2","0.67","0.25","OK"
"8ils9","0.05","5296.31","437","245","0.11","1191.35","Observation"
"8ilu4","1.00","0.00","1","1","1.00","0.00","OK"
"8iluh","0.67","0.25","1","3","1.00","0.00","OK"
"8iluo","1.00","0.00","1","3","1.00","0.00","OK"
"8iluy","0.04","15496.49","109","40","0.05","704.55","Observation"
"8ilyg","0.75","0.56","1","8","1.00","0.00","OK"
"8ilzp","0.50","9.84","12","51","0.44","5.52","OK"
"8ilzu","1.00","0.00","1","1","1.00","0.00","OK"
"8im0u","0.24","34.91","53","83","0.11","135.35","OK"
"8im11","0.20","0.00","2","3","0.60","0.22","OK"
"8im12","1.00","0.00","1","2","1.00","0.00","OK"
"8im1a","1.00","0.00","1","1","1.00","0.00","OK"
"8im1j","1.00","0.00","1","1","1.00","0.00","OK"
"8im29","1.00","0.00","1","4","1.00","0.00","OK"
"8im41","0.37","10.70","88","41","0.27","179.01","OK"
"8im4f","0.04","1955.16","53","21","0.08","238.92","OK"
"8im4k","0.25","4.00","3","5","0.63","0.64","OK"
"8im4l","0.20","0.00","2","3","0.60","0.22","OK"
"8im50","1.00","0.00","1","1","1.00","0.00","OK"
"8im59","0.03","38947.42","3311","100","0.02","108122.06","OK"
"8im6c","0.61","2.05","16","3","0.17","50.00","OK"
"8im6t","0.10","506.12","238","194","0.06","1212.16","OK"
"8im78","0.49","3.94","54","47","0.28","66.20","OK"
"8im90","1.00","0.00","1","1","1.00","0.00","OK"
"8im9a","0.08","2069.18","378","279","0.06","1883.77","OK"
"8imbb","1.00","0.00","1","1","1.00","0.00","OK"
"8imcs","0.05","1483.84","53","20","0.07","223.35","OK"
"8imd2","0.03","31826.81","11068","366","0.01","595585.53","OK"
"8imdp","0.50","0.00","2","1","0.50","0.00","OK"
"8imdt","0.10","42.25","9","6","0.29","8.58","OK"
"8ime3","0.48","11.50","12","53","0.35","4.87","OK"
"8ime7","0.51","3.76","10","83","0.55","1.70","OK"
"8imef","0.33","4.00","3","4","0.67","0.75","OK"
"8imfu","1.00","0.00","1","1","1.00","0.00","OK"
"8img5","1.00","0.00","1","1","1.00","0.00","OK"
"8imgt","0.15","325.64","127","293","0.14","140.48","OK"
"8imh7","1.00","0.00","2","4","0.67","0.25","OK"
"8imho","0.67","0.25","1","3","1.00","0.00","OK"
"8imhp","1.00","0.00","1","2","1.00","0.00","OK"
"8imhz","0.89","0.11","8","13","0.48","3.76","OK"
"8imi0","0.75","0.22","2","3","0.75","0.22","OK"
"8imib","0.68","0.71","3","16","0.84","0.28","OK"
"8imik","1.00","0.00","1","1","1.00","0.00","OK"
"8imk8","0.26","97.83","26","100","0.28","19.24","Observation"
"8imkc","0.34","8.50","15","139","0.43","4.81","Observation"
"8imkd","0.41","10.84","29","65","0.25","28.01","OK"
"8imko","0.33","0.00","2","2","0.67","0.25","OK"
"8immj","0.01","58309.09","2448","570","0.02","26075.51","OK"
"8immk","0.58","1.93","52","37","0.40","68.25","OK"
"8immq","1.00","0.00","1","2","1.00","0.00","OK"
"8immu","1.00","0.00","4","4","0.57","1.69","OK"
"8imna","0.37","4.11","10","15","0.26","12.29","OK"
"8imob","0.25","56.62","57","192","0.19","100.43","OK"
"8impo","0.28","110.13","21","33","0.25","18.33","OK"
"8imqe","0.19","156.62","67","196","0.23","93.66","OK"
"8imqn","0.67","0.25","1","3","1.00","0.00","OK"
"8imrg","0.10","0.00","2","7","0.70","0.24","OK"
"8imrr","0.48","3.25","37","14","0.17","82.31","OK"
"8ims6","0.25","25.70","57","87","0.13","126.42","Fraud"
"8imt7","1.00","0.00","1","1","1.00","0.00","OK"
"8imtk","0.71","0.64","1","7","1.00","0.00","OK"
"8imtz","1.00","0.00","1","1","1.00","0.00","OK"
"8imu3","0.50","3.88","4","20","0.63","1.04","OK"
"8imv2","0.39","20.12","19","58","0.34","14.64","OK"
"8imvn","0.16","148.41","279","290","0.13","570.07","OK"
"8imvu","0.83","0.16","1","6","1.00","0.00","OK"
"8imw6","0.71","0.24","2","6","0.86","0.14","OK"
"8imwm","0.63","0.88","4","57","0.68","0.49","OK"
"8imwn","0.64","0.91","4","30","0.71","0.64","OK"
"8imwx","0.11","543.94","68","348","0.12","124.11","OK"
"8imxk","1.00","0.00","1","1","1.00","0.00","OK"
"8imxz","0.80","0.19","2","13","0.87","0.13","OK"
"8imy8","1.00","0.00","1","1","1.00","0.00","OK"
"8imyq","1.00","0.00","1","1","1.00","0.00","OK"
"8imyz","0.75","0.22","1","4","1.00","0.00","OK"
"8imz2","0.66","0.92","25","7","0.22","69.67","OK"
"8imza","0.81","0.30","2","18","0.86","0.14","OK"
"8imzd","0.15","368.47","123","377","0.16","172.55","OK"
"8imze","0.49","5.54","7","61","0.62","1.29","OK"
"8imzr","0.34","13.97","211","47","0.16","914.13","OK"
"8imzv","0.46","10.69","6","38","0.55","1.83","OK"
"8in00","1.00","0.00","1","1","1.00","0.00","OK"
"8in07","0.33","4.00","5","2","0.33","4.00","OK"
"8in0d","0.10","1519.35","96","129","0.07","375.82","OK"
"8in0q","1.00","0.00","1","1","1.00","0.00","OK"
"8in1c","0.71","0.84","2","13","0.93","0.07","OK"
"8in1d","0.29","37.79","12","25","0.56","5.04","OK"
"8in1s","0.04","10405.90","211","600","0.07","677.53","OK"
"8in1t","0.12","597.08","179","172","0.07","810.53","OK"
"8in1y","1.00","0.00","2","1","0.50","0.00","OK"
"8in20","1.00","0.00","1","1","1.00","0.00","OK"
"8in2d","0.80","0.19","13","8","0.40","15.75","OK"
"8in2g","0.50","0.00","2","1","0.50","0.00","OK"
"8in34","0.77","0.33","3","19","0.86","0.24","OK"
"8in35","0.59","3.55","3","59","0.83","0.23","OK"
"8in36","1.00","0.00","1","1","1.00","0.00","OK"
"8in3c","0.11","1600.68","181","181","0.09","377.13","OK"
"8in41","1.00","0.00","1","1","1.00","0.00","OK"
"8in43","1.00","0.00","1","1","1.00","0.00","OK"
"8in49","0.88","0.12","3","5","0.63","0.64","OK"
"8in4e","1.00","0.00","1","2","1.00","0.00","OK"
"8in66","0.59","1.31","3","26","0.76","0.37","OK"
"8in69","0.04","11940.39","5489","179","0.01","281100.40","OK"
"8in6a","0.04","13021.96","3952","312","0.02","85286.50","OK"
"8in7f","0.36","20.98","15","110","0.46","4.58","OK"
"8in80","0.63","1.44","1","8","1.00","0.00","OK"
"8in8e","0.28","15.78","42","103","0.21","75.89","Fraud"
"8in8l","0.67","0.25","1","3","1.00","0.00","OK"
"8in8z","0.17","0.00","2","5","0.83","0.16","OK"
"8in9f","1.00","0.00","1","2","1.00","0.00","OK"
"8in9m","0.65","0.79","4","11","0.65","0.79","OK"
"8ina8","1.00","0.00","1","2","1.00","0.00","OK"
"8inag","0.78","0.49","3","7","0.78","0.49","OK"
"8inat","1.00","0.00","1","5","1.00","0.00","OK"
"8inay","0.05","6724.70","2593","550","0.03","21115.24","OK"
"8inbg","1.00","0.00","1","2","1.00","0.00","OK"
"8inca","1.00","0.00","1","1","1.00","0.00","OK"
"8incg","0.50","0.00","1","2","1.00","0.00","OK"
"8inch","1.00","0.00","1","1","1.00","0.00","OK"
"8inck","0.36","11.21","11","95","0.41","4.58","OK"
"8ind9","1.00","0.00","1","1","1.00","0.00","OK"
"8indc","0.48","7.72","10","28","0.47","3.84","OK"
"8inei","0.38","7.77","292","48","0.13","1723.08","OK"
"8inf7","0.53","7.08","7","46","0.60","1.35","OK"
"8ingg","0.41","3.65","5","26","0.63","1.17","OK"
"8ings","0.11","149.10","121","33","0.18","418.98","OK"
"8inhr","0.13","213.61","135","198","0.10","759.46","OK"
"8ini4","0.52","1.78","2","25","0.93","0.07","OK"
"8ini5","1.00","0.00","2","1","0.50","0.00","OK"
"8inig","0.56","3.83","8","25","0.58","2.12","OK"
"8inil","0.72","0.42","22","22","0.48","18.99","OK"
"8injc","0.71","0.71","3","17","0.71","0.36","OK"
"8injo","0.50","1.00","3","2","0.50","1.00","OK"
"8inkd","0.89","0.11","2","8","0.89","0.11","OK"
"8inld","1.00","0.00","1","3","1.00","0.00","OK"
"8inn7","0.24","72.16","81","100","0.17","107.00","OK"
"8ino6","0.12","324.40","251","259","0.09","1519.53","OK"
"8inp3","0.64","0.47","2","11","0.79","0.20","OK"
"8inrc","0.73","0.60","4","22","0.73","0.60","OK"
"8ins1","0.40","8.25","153","23","0.11","945.30","OK"
"8insm","0.48","1.76","3","21","0.78","0.39","OK"
"8insr","0.33","0.00","1","3","1.00","0.00","OK"
"8intf","0.75","0.59","29","21","0.41","35.39","OK"
"8inu8","0.75","0.22","3","6","0.75","0.56","OK"
"8inum","0.34","17.45","12","159","0.45","4.16","OK"
"8invg","1.00","0.00","4","1","0.25","0.00","OK"
"8inwd","0.35","38.29","194","48","0.19","758.58","OK"
"8inwo","0.39","19.28","12","81","0.56","2.67","OK"
"8inwq","0.08","110.22","10","10","0.27","14.01","OK"
"8inwx","1.00","0.00","2","5","0.83","0.16","OK"
"8inz6","0.38","7.29","21","16","0.36","23.40","OK"
"8inz8","0.34","30.92","16","65","0.34","8.70","OK"
"8io28","0.53","6.60","4","40","0.75","0.37","OK"
"8io3k","0.33","0.00","2","2","0.67","0.25","OK"
"8io3v","0.50","0.00","1","2","1.00","0.00","OK"
"8io4k","1.00","0.00","1","1","1.00","0.00","OK"
"8io4t","0.71","0.64","7","1","0.14","0.00","OK"
"8io5j","0.18","323.92","46","251","0.20","58.00","OK"
"8io5s","0.13","368.39","84","319","0.14","98.15","OK"
"8io79","1.00","0.00","1","1","1.00","0.00","OK"
"8io7a","0.67","0.25","1","3","1.00","0.00","OK"
"8io8s","0.39","12.17","10","69","0.49","2.81","OK"
"8io95","0.66","0.67","20","8","0.28","38.73","OK"
"8io9t","0.60","0.67","4","8","0.53","1.61","OK"
"8ioac","0.06","196.00","6","12","0.38","2.56","OK"
"8ioad","0.16","415.98","86","43","0.07","488.53","Observation"
"8ioaf","0.18","362.97","52","31","0.11","149.84","OK"
"8iob1","0.52","4.35","3","23","0.85","0.23","OK"
"8ioby","0.70","0.24","10","1","0.10","0.00","OK"
"8iofb","1.00","0.00","1","6","1.00","0.00","OK"
"8iohm","1.00","0.00","1","1","1.00","0.00","OK"
"8ioj0","1.00","0.00","1","1","1.00","0.00","OK"
"8iok5","1.00","0.00","1","1","1.00","0.00","OK"
"8iokr","1.00","0.00","1","1","1.00","0.00","OK"
"8ioml","1.00","0.00","1","2","1.00","0.00","OK"
"8iomw","1.00","0.00","1","2","1.00","0.00","OK"
"8ionb","1.00","0.00","1","3","1.00","0.00","OK"
"8ionh","1.00","0.00","1","1","1.00","0.00","OK"
"8ionj","1.00","0.00","2","4","0.80","0.19","OK"
"8ioo5","0.71","0.91","3","14","0.82","0.31","OK"
"8ioo7","0.83","0.36","9","4","0.33","12.00","OK"
"8ioov","1.00","0.00","1","1","1.00","0.00","OK"
"8ioqe","0.22","100.17","34","150","0.20","41.64","OK"
"8ior0","0.50","0.50","2","7","0.88","0.12","OK"
"8iory","1.00","0.00","2","2","0.67","0.25","OK"
"8iosv","0.14","382.27","1115","437","0.15","2900.57","OK"
"8iot1","0.32","41.14","120","165","0.27","97.47","OK"
"8iott","1.00","0.00","1","1","1.00","0.00","OK"
"8iou1","0.70","0.67","3","16","0.80","0.31","OK"
"8iou5","0.50","0.00","2","1","0.50","0.00","OK"
"8iou8","0.44","5.43","57","65","0.44","47.80","OK"
"8ioui","0.50","0.00","1","2","1.00","0.00","OK"
"8ioul","0.33","0.00","2","2","0.67","0.25","OK"
"8iow5","0.14","0.00","2","5","0.71","0.24","OK"
"8iowu","0.64","1.22","4","41","0.75","0.57","OK"
"8ioyh","0.33","0.00","2","2","0.67","0.25","OK"
"8ioyz","1.00","0.00","1","1","1.00","0.00","OK"
"8iozi","0.74","0.58","4","19","0.83","0.48","OK"
"8ip10","0.67","0.25","2","2","0.67","0.25","OK"
"8ip1i","1.00","0.00","1","1","1.00","0.00","OK"
"8ip1v","0.23","60.88","591","124","0.14","2778.82","OK"
"8ip45","0.09","2667.69","7133","78","0.01","645231.81","OK"
"8ip46","0.83","0.16","3","4","0.67","0.75","OK"
"8ip4d","0.06","9999.33","5201","91","0.01","492709.17","OK"
"8ip5p","0.18","127.06","72","258","0.15","86.32","OK"
"8ip5q","0.38","12.16","34","61","0.21","52.64","OK"
"8ip65","1.00","0.00","1","1","1.00","0.00","OK"
"8ip71","0.12","4679.33","110","109","0.07","643.06","Observation"
"8ip85","1.00","0.00","1","1","1.00","0.00","OK"
"8ip8o","0.80","0.19","1","5","1.00","0.00","OK"
"8ipat","0.40","0.25","3","3","0.60","0.89","OK"
"8ipcr","0.63","0.64","6","3","0.38","5.56","OK"
"8ipdk","1.00","0.00","1","2","1.00","0.00","OK"
"8ipdp","0.83","0.16","2","5","0.83","0.16","OK"
"8ipdr","1.00","0.00","1","4","1.00","0.00","OK"
"8ipeq","1.00","0.00","2","5","0.83","0.16","OK"
"8ipg0","0.80","0.19","2","3","0.60","0.22","OK"
"8ipg1","0.80","0.19","2","3","0.60","0.22","OK"
"8ipgq","0.57","3.87","20","4","0.17","67.69","OK"
"8ipgz","1.00","0.00","1","1","1.00","0.00","OK"
"8iph1","1.00","0.00","1","1","1.00","0.00","OK"
"8ipif","1.00","0.00","1","3","1.00","0.00","OK"
"8ipiu","0.80","0.19","1","10","1.00","0.00","OK"
"8ipks","0.82","0.26","5","15","0.54","1.32","OK"
"8ipls","0.29","20.40","87","7","0.08","905.63","OK"
"8ipm4","0.88","0.12","3","12","0.75","0.39","OK"
"8ipn0","1.00","0.00","1","7","1.00","0.00","OK"
"8ipoi","0.50","0.00","2","1","0.50","0.00","OK"
"8ipoo","0.26","34.65","323","186","0.26","554.64","OK"
"8ippe","0.43","0.22","3","4","0.57","0.69","OK"
"8ippl","1.00","0.00","3","2","0.50","1.00","OK"
"8ipr3","0.42","30.93","13","28","0.36","10.90","OK"
"8iprx","1.00","0.00","1","1","1.00","0.00","OK"
"8ipxe","0.33","15.65","133","35","0.19","480.33","OK"
"8ipxf","0.67","0.25","2","2","0.67","0.25","OK"
"8iq0e","0.09","152.44","21","29","0.21","23.98","OK"
"8iq0h","1.00","0.00","1","1","1.00","0.00","OK"
"8iq0l","0.47","4.28","8","95","0.57","1.93","OK"
"8iq0m","0.67","0.25","1","3","1.00","0.00","OK"
"8iq0q","0.57","4.45","9","32","0.60","2.29","OK"
"8iq0r","0.67","0.75","3","4","0.67","0.75","OK"
"8iq11","1.00","0.00","1","2","1.00","0.00","OK"
"8iq1n","1.00","0.00","3","6","0.75","0.56","OK"
"8iq1z","0.27","40.06","80","158","0.23","94.92","Observation"
"8iq22","0.47","4.51","6","131","0.61","1.28","OK"
"8iq3b","0.63","1.15","4","23","0.66","0.77","OK"
"8iq4r","0.14","201.35","40","106","0.14","97.80","OK"
"8iq53","0.07","2252.81","985","42","0.02","39050.83","OK"
"8iq7l","1.00","0.00","1","1","1.00","0.00","OK"
"8iq7q","0.68","0.71","17","3","0.16","56.89","OK"
"8iq85","0.79","0.30","2","21","0.88","0.12","OK"
"8iqbs","0.80","0.19","1","5","1.00","0.00","OK"
"8iqd8","1.00","0.00","1","1","1.00","0.00","OK"
"8iqde","0.46","2.90","11","10","0.36","11.76","OK"
"8iqe6","0.78","0.20","3","7","0.78","0.49","OK"
"8iqec","1.00","0.00","1","1","1.00","0.00","OK"
"8iqee","1.00","0.00","1","1","1.00","0.00","OK"
"8iqez","1.00","0.00","1","1","1.00","0.00","OK"
"8iqfg","0.25","0.00","2","2","0.50","0.00","OK"
"8iqhl","1.00","0.00","1","4","1.00","0.00","OK"
"8iqip","1.00","0.00","1","1","1.00","0.00","OK"
"8iqjj","1.00","0.00","1","2","1.00","0.00","OK"
"8iqk3","0.60","1.06","2","17","0.85","0.15","OK"
"8iqks","1.00","0.00","2","4","0.80","0.19","OK"
"8iqni","0.78","0.49","7","3","0.33","8.00","OK"
"8iqnn","0.57","1.69","3","5","0.71","0.64","OK"
"8iqnv","0.07","1567.98","354","427","0.06","1791.40","OK"
"8iqp5","1.00","0.00","1","1","1.00","0.00","OK"
"8iqqe","1.00","0.00","1","7","1.00","0.00","OK"
"8iqr5","1.00","0.00","1","1","1.00","0.00","OK"
"8iqsf","1.00","0.00","1","1","1.00","0.00","OK"
"8iqsw","1.00","0.00","1","1","1.00","0.00","OK"
"8iqtd","0.50","0.00","1","2","1.00","0.00","OK"
"8iqth","0.67","0.83","5","34","0.74","0.82","OK"
"8iqu0","1.00","0.00","1","1","1.00","0.00","OK"
"8iqu4","1.00","0.00","1","1","1.00","0.00","OK"
"8iqu5","1.00","0.00","1","1","1.00","0.00","OK"
"8iqua","1.00","0.00","1","3","1.00","0.00","OK"
"8iqug","0.20","89.80","859","168","0.14","4350.15","OK"
"8iqur","1.00","0.00","1","1","1.00","0.00","OK"
"8iquu","1.00","0.00","1","1","1.00","0.00","OK"
"8iqvd","1.00","0.00","1","1","1.00","0.00","OK"
"8iqvi","0.50","6.55","2","17","0.77","0.21","OK"
"8iqvo","1.00","0.00","2","4","0.80","0.19","OK"
"8iqvp","0.71","0.64","2","5","0.71","0.24","OK"
"8iqvs","0.20","0.00","2","3","0.60","0.22","OK"
"8iqw0","1.00","0.00","1","1","1.00","0.00","OK"
"8iqw1","0.27","45.79","165","8","0.02","2498.44","OK"
"8iqw2","0.69","0.88","11","4","0.13","7.50","OK"
"8iqw6","0.32","20.90","27","28","0.26","29.02","OK"
"8iqw8","0.55","3.19","33","11","0.20","81.36","OK"
"8iqw9","0.78","0.20","5","4","0.44","2.69","OK"
"8iqwa","0.18","45.84","13","11","0.39","11.70","OK"
"8iqwb","0.50","2.00","1","6","1.00","0.00","OK"
"8iqwc","0.72","0.93","21","4","0.13","57.00","OK"
"8iqwe","1.00","0.00","2","2","0.67","0.25","OK"
"8iqwf","1.00","0.00","1","1","1.00","0.00","OK"
"8iqwy","1.00","0.00","1","2","1.00","0.00","OK"
"8iqx9","0.58","0.49","9","4","0.33","12.00","OK"
"8iqxa","0.40","13.11","28","8","0.23","79.73","OK"
"8iqxb","0.86","0.14","1","7","1.00","0.00","OK"
"8iqxi","1.00","0.00","1","1","1.00","0.00","OK"
"8iqym","1.00","0.00","1","1","1.00","0.00","OK"
"8iqyw","0.35","10.65","23","162","0.48","7.01","OK"
"8iqzc","0.38","18.27","57","52","0.19","87.78","OK"
"8iqzg","0.48","5.85","15","26","0.36","12.46","OK"
"8iqzh","0.37","20.86","53","50","0.21","108.82","OK"
"8iqzi","0.13","647.38","1033","86","0.04","15575.55","OK"
"8iqzk","0.19","209.86","396","78","0.07","2315.40","OK"
"8iqzl","0.43","5.80","25","34","0.20","37.32","OK"
"8iqzm","0.59","3.13","13","70","0.44","6.43","OK"
"8iqzn","0.44","20.85","18","18","0.33","17.33","OK"
"8iqzo","0.45","15.73","50","20","0.13","163.45","OK"
"8iqzp","0.27","45.97","104","116","0.13","332.19","OK"
"8iqzs","0.22","363.50","99","93","0.21","119.33","OK"
"8iqzu","0.56","2.36","19","37","0.39","11.32","OK"
"8iqzw","0.17","299.84","388","54","0.05","3315.58","OK"
"8iqzz","0.45","8.91","33","77","0.25","31.44","OK"
"8ir00","0.28","52.72","91","39","0.11","403.31","OK"
"8ir01","0.17","257.55","286","59","0.06","2105.28","OK"
"8ir05","0.19","365.99","417","55","0.05","3705.41","Fraud"
"8ir06","0.31","24.16","108","47","0.14","330.80","OK"
"8ir07","0.18","453.92","367","60","0.06","2879.73","OK"
"8ir09","0.26","47.51","302","97","0.11","997.21","OK"
"8ir0d","0.46","8.56","20","44","0.30","16.67","OK"
"8ir0f","0.32","41.83","129","33","0.10","568.09","OK"
"8ir0i","0.50","2.00","2","4","0.67","0.25","OK"
"8ir0v","0.67","0.25","1","3","1.00","0.00","OK"
"8ir0z","1.00","0.00","1","3","1.00","0.00","OK"
"8ir14","0.45","8.27","7","35","0.45","3.07","OK"
"8ir16","0.38","28.93","15","75","0.40","8.68","OK"
"8ir1o","1.00","0.00","1","3","1.00","0.00","OK"
"8ir25","0.22","12.25","9","1","0.11","0.00","OK"
"8ir28","1.00","0.00","1","2","1.00","0.00","OK"
"8ir2b","0.40","1.92","8","7","0.47","5.84","OK"
"8ir2e","0.75","0.90","8","49","0.59","2.25","OK"
"8ir2l","0.33","4.00","1","6","1.00","0.00","OK"
"8ir2o","1.00","0.00","1","1","1.00","0.00","OK"
"8ir2s","1.00","0.00","1","2","1.00","0.00","OK"
"8ir3v","0.73","0.48","2","10","0.91","0.09","OK"
"8ir4d","1.00","0.00","1","1","1.00","0.00","OK"
"8ir6j","1.00","0.00","1","1","1.00","0.00","OK"
"8ir6k","1.00","0.00","1","1","1.00","0.00","OK"
"8ir6w","1.00","0.00","2","4","0.80","0.19","OK"
"8ir7h","1.00","0.00","1","1","1.00","0.00","OK"
"8ir96","0.32","64.51","43","91","0.19","97.58","OK"
"8irab","0.05","8270.76","242","393","0.05","1229.37","OK"
"8irb0","0.33","12.40","2","10","0.67","0.25","OK"
"8irbp","0.26","36.27","71","160","0.24","93.63","OK"
"8irck","0.80","0.44","7","4","0.40","6.75","OK"
"8ircl","0.56","1.89","14","12","0.44","12.69","OK"
"8ircq","0.55","2.24","5","20","0.50","1.70","OK"
"8ircw","0.50","0.00","1","2","1.00","0.00","OK"
"8ircy","1.00","0.00","1","2","1.00","0.00","OK"
"8irdq","1.00","0.00","1","2","1.00","0.00","OK"
"8irdv","0.17","0.00","3","4","0.67","0.75","OK"
"8ire4","0.17","0.00","1","6","1.00","0.00","OK"
"8irek","1.00","0.00","1","1","1.00","0.00","OK"
"8irgx","0.60","0.89","4","2","0.40","2.25","OK"
"8irid","0.50","0.00","1","2","1.00","0.00","OK"
"8irih","0.16","109.99","942","94","0.08","9306.36","OK"
"8iriv","0.10","156.22","18","7","0.23","33.10","OK"
"8irjv","0.50","2.00","2","5","0.83","0.16","OK"
"8irk4","0.21","334.90","24","97","0.37","14.29","OK"
"8irkm","0.53","1.11","2","14","0.93","0.07","OK"
"8irl1","1.00","0.00","1","2","1.00","0.00","OK"
"8irlc","0.21","279.75","49","284","0.21","56.09","OK"
"8irle","0.51","5.13","13","92","0.58","3.83","OK"
"8irll","0.09","178.36","37","43","0.12","92.76","Observation"
"8irob","0.03","37451.99","26375","582","0.02","999999.99","OK"
"8irot","0.19","141.20","642","63","0.08","6396.85","OK"
"8irq0","0.21","297.63","1339","164","0.10","10835.91","OK"
"8irqh","1.00","0.00","1","1","1.00","0.00","OK"
"8irqi","1.00","0.00","1","2","1.00","0.00","OK"
"8irqk","1.00","0.00","1","3","1.00","0.00","OK"
"8irr8","0.50","0.00","1","2","1.00","0.00","OK"
"8irr9","0.63","1.71","21","4","0.17","75.00","OK"
"8irrl","1.00","0.00","1","1","1.00","0.00","OK"
"8irrw","1.00","0.00","1","1","1.00","0.00","OK"
"8irrx","0.25","39.14","34","120","0.19","56.34","Observation"
"8irs5","0.39","7.18","7","48","0.68","1.37","OK"
"8irsq","0.67","0.25","1","3","1.00","0.00","OK"
"8irsy","0.46","6.90","5","19","0.54","1.19","OK"
"8irt8","0.57","5.74","5","55","0.64","0.90","OK"
"8irtb","1.00","0.00","1","1","1.00","0.00","OK"
"8irtc","0.60","1.22","3","7","0.70","0.53","OK"
"8irti","0.88","0.12","1","8","1.00","0.00","OK"
"8irtu","1.00","0.00","1","1","1.00","0.00","OK"
"8iru0","0.93","0.07","2","11","0.73","0.23","OK"
"8iru3","1.00","0.00","1","1","1.00","0.00","OK"
"8irui","0.02","2070.25","91","3","0.03","1800.00","OK"
"8iruq","1.00","0.00","1","3","1.00","0.00","OK"
"8irvj","0.29","27.39","534","87","0.13","3222.85","OK"
"8irwu","1.00","0.00","1","3","1.00","0.00","OK"
"8irzv","1.00","0.00","1","1","1.00","0.00","OK"
"8is01","0.29","20.58","19","227","0.40","4.84","OK"
"8is0l","0.93","0.07","11","5","0.33","16.00","OK"
"8is1d","0.56","2.00","19","17","0.41","17.54","OK"
"8is20","0.68","1.20","3","24","0.77","0.37","OK"
"8is2b","0.19","81.15","116","66","0.12","469.52","OK"
"8is2k","0.26","40.14","59","87","0.13","247.17","Fraud"
"8is2p","0.67","0.25","2","2","0.67","0.25","OK"
"8is30","1.00","0.00","1","1","1.00","0.00","OK"
"8is32","1.00","0.00","1","1","1.00","0.00","OK"
"8is41","1.00","0.00","1","1","1.00","0.00","OK"
"8is47","0.33","4.00","2","5","0.83","0.16","OK"
"8is4p","1.00","0.00","1","1","1.00","0.00","OK"
